filename,pdf_path,pdf_type,input_tokens,output_tokens,api_latency,total_cost,accuracy
22774_png.rf.02d011e3953b94265d2f845eed5de895,input/pdfs/22774_png.rf.02d011e3953b94265d2f845eed5de895.pdf,scanned,312,297,7.931781768798828,0.00015,0.7293028235435486
959_png.rf.9a1f5b444e2c488f3f22e6e0c5581f08,input/pdfs/959_png.rf.9a1f5b444e2c488f3f22e6e0c5581f08.pdf,scanned,312,392,7.777417898178101,0.000188,0.8888888955116272
13820_png.rf.eed665c6f8837ea63bd28a7b7a15f759,input/pdfs/13820_png.rf.eed665c6f8837ea63bd28a7b7a15f759.pdf,scanned,312,352,8.010830879211426,0.000172,0.5584794878959656
10346_png.rf.5c5db7b47ab5b07e7fbaeced695a0d72,input/pdfs/10346_png.rf.5c5db7b47ab5b07e7fbaeced695a0d72.pdf,scanned,312,494,8.93358826637268,0.0002287999999999,1.0
44009_png.rf.d5da48ac6751d38f5abbe45a647b595e,input/pdfs/44009_png.rf.d5da48ac6751d38f5abbe45a647b595e.pdf,scanned,312,181,6.8260040283203125,0.0001036,0.8925355672836304
17643_png.rf.d453c794329170892ef621d34632c9a4,input/pdfs/17643_png.rf.d453c794329170892ef621d34632c9a4.pdf,scanned,312,1149,14.480030059814451,0.0004908,0.4295552968978882
42778_png.rf.1daa64c87ac6602fb0ce3efd48f35407,input/pdfs/42778_png.rf.1daa64c87ac6602fb0ce3efd48f35407.pdf,scanned,312,528,9.36511778831482,0.0002423999999999,0.8857851624488831
21142_png.rf.c2dc42bb8a853443bd01ffa477ba973f,input/pdfs/21142_png.rf.c2dc42bb8a853443bd01ffa477ba973f.pdf,scanned,312,308,7.179991006851196,0.0001543999999999,0.8360257148742676
10493_png.rf.e0e724f0c23cd9a50319809f3fcbd43e,input/pdfs/10493_png.rf.e0e724f0c23cd9a50319809f3fcbd43e.pdf,scanned,312,537,11.336518049240112,0.000246,0.6277287602424622
7430_png.rf.9efb79f77baebfdd13cdeca0c985aa14,input/pdfs/7430_png.rf.9efb79f77baebfdd13cdeca0c985aa14.pdf,scanned,312,1879,17.364326238632202,0.0007827999999999,0.8546561598777771
49638_png.rf.dfd0dd964fa94f41751773c54b7368df,input/pdfs/49638_png.rf.dfd0dd964fa94f41751773c54b7368df.pdf,scanned,312,360,8.33647894859314,0.0001752,0.9808077216148376
6105_png.rf.8f34dcdb59791d80cf46b9a5fd4d9327,input/pdfs/6105_png.rf.8f34dcdb59791d80cf46b9a5fd4d9327.pdf,scanned,312,564,10.459093809127808,0.0002567999999999,0.5872722268104553
16863_png.rf.7d66b147a0b366440f2f9c57eb916d5e,input/pdfs/16863_png.rf.7d66b147a0b366440f2f9c57eb916d5e.pdf,scanned,312,2123,18.92387008666992,0.0008803999999999,0.8420922756195068
15954_png.rf.91c91f3e9d41ac84576e8993ef92e0e4,input/pdfs/15954_png.rf.91c91f3e9d41ac84576e8993ef92e0e4.pdf,scanned,312,1220,14.98828911781311,0.0005192,0.8355167508125305
16983_png.rf.ed5224591f15cb3d4ba7379d5986e992,input/pdfs/16983_png.rf.ed5224591f15cb3d4ba7379d5986e992.pdf,scanned,312,238,7.208686828613281,0.0001263999999999,0.8714285492897034
8869_png.rf.17e47f487930e8f76cf098cb1f60f658,input/pdfs/8869_png.rf.17e47f487930e8f76cf098cb1f60f658.pdf,scanned,312,494,9.082906007766724,0.0002287999999999,0.7596613764762878
15738_png.rf.4495c3134baea30bf417edbb8e8dd900,input/pdfs/15738_png.rf.4495c3134baea30bf417edbb8e8dd900.pdf,scanned,312,541,9.594812870025637,0.0002476,0.7537356019020081
15501_png.rf.6314d940e6b315d232397ca4d0c7ea05,input/pdfs/15501_png.rf.6314d940e6b315d232397ca4d0c7ea05.pdf,scanned,312,804,11.481489896774292,0.0003528,0.9939225912094116
35064_png.rf.2475d3d7e0e01d84f8e6f2cacdaa9794,input/pdfs/35064_png.rf.2475d3d7e0e01d84f8e6f2cacdaa9794.pdf,scanned,312,2659,21.869181871414185,0.0010948,0.842476487159729
10091_png.rf.a90765e31cc48705fb7241b99bef4472,input/pdfs/10091_png.rf.a90765e31cc48705fb7241b99bef4472.pdf,scanned,312,460,10.184818029403688,0.0002152,0.6262626051902771
11900_png.rf.113aec8d0964d76074addaff9c9226d6,input/pdfs/11900_png.rf.113aec8d0964d76074addaff9c9226d6.pdf,scanned,312,378,8.721551895141602,0.0001824,0.9988951683044434
47252_png.rf.e26587aa844b57ff998cdacf508d15bd,input/pdfs/47252_png.rf.e26587aa844b57ff998cdacf508d15bd.pdf,scanned,312,132,5.782136917114258,0.000084,0.8908730149269104
19860_png.rf.707ed75faa7c6a1d77163c9e0462d671,input/pdfs/19860_png.rf.707ed75faa7c6a1d77163c9e0462d671.pdf,scanned,312,131,5.596999883651733,0.0000836,1.0
42739_png.rf.68ffe90b91e7afacd053a6b5688edc58,input/pdfs/42739_png.rf.68ffe90b91e7afacd053a6b5688edc58.pdf,scanned,312,234,7.036860942840576,0.0001248,0.9805195331573486
20736_png.rf.e23853b3311e655266213512453f486f,input/pdfs/20736_png.rf.e23853b3311e655266213512453f486f.pdf,scanned,312,295,8.854174137115479,0.0001492,1.0
35890_png.rf.001f127d55285846a4f99265d04e9dbb,input/pdfs/35890_png.rf.001f127d55285846a4f99265d04e9dbb.pdf,scanned,312,393,7.852245807647705,0.0001884,0.7635429501533508
5629_png.rf.22a0f9f961a8f6cfba2ca48b527e6b6e,input/pdfs/5629_png.rf.22a0f9f961a8f6cfba2ca48b527e6b6e.pdf,scanned,312,777,12.158813953399658,0.0003419999999999,0.9052845239639282
6641_png.rf.1e250b794e83c45600b4652a5da57ee9,input/pdfs/6641_png.rf.1e250b794e83c45600b4652a5da57ee9.pdf,scanned,312,111,6.5654449462890625,0.0000756,0.96875
26698_png.rf.a6843033beaeb808e5c5408a647f6944,input/pdfs/26698_png.rf.a6843033beaeb808e5c5408a647f6944.pdf,scanned,312,250,7.23635196685791,0.0001312,0.4545454680919647
25044_png.rf.1db9d889913c5e915900fd4c3f49fe29,input/pdfs/25044_png.rf.1db9d889913c5e915900fd4c3f49fe29.pdf,scanned,312,1010,14.079877853393556,0.0004352,0.7706255316734314
10035_png.rf.07e8e5bf2e9ad4e77a84fd38d1f53f38,input/pdfs/10035_png.rf.07e8e5bf2e9ad4e77a84fd38d1f53f38.pdf,scanned,312,752,10.48464012145996,0.000332,0.7333333492279053
47446_png.rf.0da3296658251cd268ab7553cdbabac8,input/pdfs/47446_png.rf.0da3296658251cd268ab7553cdbabac8.pdf,scanned,312,271,7.285400152206421,0.0001395999999999,0.8422619104385376
26991_png.rf.8102a1a52b34bcbb767674b62167d654,input/pdfs/26991_png.rf.8102a1a52b34bcbb767674b62167d654.pdf,scanned,312,296,7.527600049972534,0.0001496,0.9365079402923584
16013_png.rf.dd7c625547650213f5173aabc0a793ae,input/pdfs/16013_png.rf.dd7c625547650213f5173aabc0a793ae.pdf,scanned,312,308,6.882204055786133,0.0001543999999999,0.8142856955528259
48626_png.rf.6922b43e8099138225b597ea714472f8,input/pdfs/48626_png.rf.6922b43e8099138225b597ea714472f8.pdf,scanned,312,1086,215.78876090049744,0.0004656,0.6047092080116272
47484_png.rf.2e4d6b8a0c0a3818cb4e58d84c65c04d,input/pdfs/47484_png.rf.2e4d6b8a0c0a3818cb4e58d84c65c04d.pdf,scanned,312,530,9.496655225753784,0.0002432,0.762148916721344
18525_png.rf.1fa99c441d12eb2ea91740604a43d70a,input/pdfs/18525_png.rf.1fa99c441d12eb2ea91740604a43d70a.pdf,scanned,312,422,8.739853143692017,0.0001999999999999,0.7011218070983887
4125_png.rf.34055c7499025a6b9c9054dc08dd370c,input/pdfs/4125_png.rf.34055c7499025a6b9c9054dc08dd370c.pdf,scanned,312,584,9.5803062915802,0.0002648,0.8039215803146362
45451_png.rf.18a3ef7c87b5514180231b7c8467ab6e,input/pdfs/45451_png.rf.18a3ef7c87b5514180231b7c8467ab6e.pdf,scanned,312,315,8.56141209602356,0.0001572,0.8277777433395386
25343_png.rf.a7a3bfcca3bfb44fba8cea535107f53c,input/pdfs/25343_png.rf.a7a3bfcca3bfb44fba8cea535107f53c.pdf,scanned,312,243,6.447974920272827,0.0001283999999999,0.8958333134651184
4555_png.rf.4c1a77eeca60e0f5c1a5e9cb0d61c406,input/pdfs/4555_png.rf.4c1a77eeca60e0f5c1a5e9cb0d61c406.pdf,scanned,312,525,9.461589097976685,0.0002411999999999,0.8111111521720886
14754_png.rf.4d6d6888a19dbba26d5fdc31028cfdb3,input/pdfs/14754_png.rf.4d6d6888a19dbba26d5fdc31028cfdb3.pdf,scanned,312,161,7.175063848495483,0.0000956,0.9841269850730896
6865_png.rf.533bcfd281f447cb9f7c6f273904298a,input/pdfs/6865_png.rf.533bcfd281f447cb9f7c6f273904298a.pdf,scanned,312,266,7.501236915588379,0.0001375999999999,0.9350649118423462
6292_png.rf.91a19bc29379a0eecbf6d70a11854213,input/pdfs/6292_png.rf.91a19bc29379a0eecbf6d70a11854213.pdf,scanned,312,756,11.03896713256836,0.0003336,0.8144841194152832
31647_png.rf.7ca4179afe32e6b929d81f09eab91238,input/pdfs/31647_png.rf.7ca4179afe32e6b929d81f09eab91238.pdf,scanned,312,2624,21.797074794769287,0.0010807999999999,0.9986917972564697
19756_png.rf.a9d2d42e1c54d5433b2c97e3d55f9027,input/pdfs/19756_png.rf.a9d2d42e1c54d5433b2c97e3d55f9027.pdf,scanned,312,1947,18.4807550907135,0.00081,0.9782185554504395
17499_png.rf.f4c26dc9d8998fc4eda1728553748cbf,input/pdfs/17499_png.rf.f4c26dc9d8998fc4eda1728553748cbf.pdf,scanned,312,180,7.764709234237671,0.0001032,0.800000011920929
934_png.rf.b04a23a7a66d1f4238f7dd0fe853770a,input/pdfs/934_png.rf.b04a23a7a66d1f4238f7dd0fe853770a.pdf,scanned,312,555,9.30505108833313,0.0002532,0.7227890491485596
18217_png.rf.845f53c4eb004f485b9516ef0cd84053,input/pdfs/18217_png.rf.845f53c4eb004f485b9516ef0cd84053.pdf,scanned,312,823,12.50588083267212,0.0003604,0.859001874923706
10521_png.rf.d668a20adafedba29c9d49a81b1cf8ea,input/pdfs/10521_png.rf.d668a20adafedba29c9d49a81b1cf8ea.pdf,scanned,312,247,6.194808006286621,0.00013,0.9090909361839294
8960_png.rf.8115ee82d24658dbba96575e8778cc60,input/pdfs/8960_png.rf.8115ee82d24658dbba96575e8778cc60.pdf,scanned,312,250,7.24872899055481,0.0001312,0.6510091423988342
